url	game_start_time	home_team_name	home_team_score	visitor_team_name	visitor_team_score	overtime
/boxscores/201312070PHI.html	7:00 pm	Philadelphia 76ers		Denver Nuggets		
/boxscores/201312070POR.html	10:00 pm	Portland Trail Blazers		Dallas Mavericks		
/boxscores/201312070SAS.html	8:30 pm	San Antonio Spurs		Indiana Pacers		
/boxscores/201312070UTA.html	9:00 pm	Utah Jazz		Sacramento Kings		
/boxscores/201312080DET.html	6:00 pm	Detroit Pistons		Miami Heat		
/boxscores/201312080HOU.html	7:00 pm	Houston Rockets		Orlando Magic		
/boxscores/201312080LAL.html	9:30 pm	Los Angeles Lakers		Toronto Raptors		
/boxscores/201312080NYK.html	12:00 am	New York Knicks		Boston Celtics		
/boxscores/201312080OKC.html	7:00 pm	Oklahoma City Thunder		Indiana Pacers		
/boxscores/201312090CHA.html	7:00 pm	Charlotte Bobcats		Golden State Warriors		
/boxscores/201312090MEM.html	8:00 pm	Memphis Grizzlies		Orlando Magic		
/boxscores/201312090PHI.html	7:00 pm	Philadelphia 76ers		Los Angeles Clippers		
/boxscores/201312090SAC.html	10:00 pm	Sacramento Kings		Dallas Mavericks		
/boxscores/201312090UTA.html	9:00 pm	Utah Jazz		Portland Trail Blazers		
/boxscores/201312090WAS.html	7:00 pm	Washington Wizards		Denver Nuggets		
/boxscores/201312100ATL.html	7:30 pm	Atlanta Hawks		Oklahoma City Thunder		
/boxscores/201312100BRK.html	7:30 pm	Brooklyn Nets		Boston Celtics		
/boxscores/201312100CHI.html	8:00 pm	Chicago Bulls		Milwaukee Bucks		
/boxscores/201312100CLE.html	7:00 pm	Cleveland Cavaliers		New York Knicks		
/boxscores/201312100DET.html	7:30 pm	Detroit Pistons		Minnesota Timberwolves		
/boxscores/201312100IND.html	7:00 pm	Indiana Pacers		Miami Heat		
/boxscores/201312100LAL.html	10:30 pm	Los Angeles Lakers		Phoenix Suns		
/boxscores/201312100TOR.html	7:00 pm	Toronto Raptors		San Antonio Spurs		
/boxscores/201312110BOS.html	7:30 pm	Boston Celtics		Los Angeles Clippers		
/boxscores/201312110CHA.html	7:00 pm	Charlotte Bobcats		Orlando Magic		
/boxscores/201312110GSW.html	10:30 pm	Golden State Warriors		Dallas Mavericks		
/boxscores/201312110MEM.html	8:00 pm	Memphis Grizzlies		Oklahoma City Thunder		
/boxscores/201312110MIL.html	8:00 pm	Milwaukee Bucks		San Antonio Spurs		
/boxscores/201312110MIN.html	8:00 pm	Minnesota Timberwolves		Philadelphia 76ers		
/boxscores/201312110NOP.html	8:00 pm	New Orleans Pelicans		Detroit Pistons		
/boxscores/201312110NYK.html	8:00 pm	New York Knicks		Chicago Bulls		
